order_id,order_date,ship_date,ship_mode,customer_id,region,sales_rep,category,sub_category,unit_price,quantity,discount,sales,cost,profit,profit_pct
ORD-00074,2023-04-04,2023-04-06,Standard,CUST_0129,West,Rep_11,Electronics,Laptops,1931.44,10,0.1,17382.96,12780.58,4602.38,26.48
ORD-00075,2023-10-12,2023-10-14,Economy,CUST_0266,South,Rep_16,Office Supplies,Pens,79.77,7,0.15,474.63,329.52,145.11,30.57
ORD-00076,2024-11-17,2024-11-18,Same Day,CUST_0171,East,Rep_14,Electronics,Accessories,1743.92,6,0.05,9940.34,6541.76,3398.58,34.19
ORD-00077,2023-11-19,2023-11-22,Standard,CUST_0233,Central,Rep_02,Office Supplies,Binders,29.25,7,0.2,163.8,99.0,64.8,39.56
ORD-00078,2024-09-29,2024-10-06,Same Day,CUST_0097,West,Rep_02,Electronics,Accessories,1097.29,8,0.2,7022.66,3268.93,3753.73,53.45
ORD-00079,2023-01-30,2023-02-05,Standard,CUST_0249,East,Rep_15,Office Supplies,Paper,50.67,4,0.15,172.28,85.71,86.57,50.25
ORD-00080,2023-04-27,2023-05-01,Express,CUST_0048,Central,Rep_14,Sports,Gym Equipment,475.12,3,0.05,1354.09,988.21,365.88,27.02
ORD-00081,2024-04-12,2024-04-17,Express,CUST_0242,West,Rep_16,Office Supplies,Staplers,15.85,4,0.1,57.06,34.38,22.68,39.75
ORD-00082,2023-01-03,2023-01-06,Same Day,CUST_0175,East,Rep_14,Furniture,Chairs,608.24,10,0.1,5474.16,4103.82,1370.34,25.03
ORD-00083,2023-12-07,2023-12-12,Same Day,CUST_0248,West,Rep_18,Clothing,Pants,195.46,7,0.05,1299.81,948.67,351.14,27.01
ORD-00084,2023-02-14,2023-02-17,Economy,CUST_0120,Central,Rep_13,Furniture,Desks,621.29,7,0.05,4131.58,3084.32,1047.26,25.35
ORD-00085,2023-04-13,2023-04-20,Same Day,CUST_0258,North,Rep_05,Furniture,Tables,691.53,2,0.1,1244.75,900.12,344.63,27.69
ORD-00086,2023-09-29,2023-10-02,Economy,CUST_0039,West,Rep_05,Electronics,Phones,1321.87,7,0.15,7865.13,3728.82,4136.31,52.59
ORD-00087,2024-09-24,2024-09-25,Standard,CUST_0278,East,Rep_16,Office Supplies,Binders,22.61,5,0.0,113.05,76.2,36.85,32.6
ORD-00088,2023-01-30,2023-01-31,Same Day,CUST_0086,North,Rep_15,Clothing,Shirts,94.61,1,0.0,94.61,52.75,41.86,44.24
ORD-00089,2023-06-24,2023-06-26,Express,CUST_0211,South,Rep_17,Clothing,Pants,38.16,7,0.1,240.41,157.45,82.96,34.51
ORD-00090,2023-09-19,2023-09-25,Economy,CUST_0131,South,Rep_15,Clothing,Pants,22.16,8,0.0,177.28,115.81,61.47,34.67
ORD-00091,2024-12-07,2024-12-10,Economy,CUST_0154,West,Rep_12,Furniture,Chairs,419.79,5,0.0,2098.95,1573.82,525.13,25.02
ORD-00092,2024-08-11,2024-08-14,Same Day,CUST_0293,South,Rep_13,Clothing,Shirts,248.32,5,0.0,1241.6,922.98,318.62,25.66
ORD-00093,2023-10-21,2023-10-28,Economy,CUST_0026,North,Rep_19,Clothing,Shoes,203.74,10,0.2,1629.92,905.74,724.18,44.43
ORD-00094,2024-03-27,2024-03-28,Same Day,CUST_0021,South,Rep_04,Furniture,Cabinets,505.7,3,0.0,1517.1,1096.69,420.41,27.71
ORD-00095,2024-06-27,2024-07-02,Same Day,CUST_0068,South,Rep_07,Office Supplies,Binders,73.51,3,0.0,220.53,159.71,60.82,27.58
ORD-00096,2023-05-25,2023-06-01,Standard,CUST_0240,East,Rep_04,Clothing,Shoes,242.3,7,0.2,1356.88,938.11,418.77,30.86
ORD-00097,2024-04-10,2024-04-13,Standard,CUST_0136,West,Rep_01,Office Supplies,Pens,55.46,5,0.1,249.57,140.83,108.74,43.57
ORD-00098,2024-09-16,2024-09-18,Same Day,CUST_0013,South,Rep_16,Office Supplies,Pens,53.57,8,0.15,364.28,196.95,167.33,45.93
ORD-00099,2024-05-19,2024-05-20,Same Day,CUST_0020,South,Rep_02,Clothing,Shirts,42.35,9,0.0,381.15,215.96,165.19,43.34
ORD-00100,2024-05-16,2024-05-21,Standard,CUST_0213,Central,Rep_05,Office Supplies,Binders,35.61,5,0.0,178.05,116.99,61.06,34.29
ORD-00101,2024-12-03,2024-12-06,Standard,CUST_0186,West,Rep_08,Furniture,Tables,481.13,6,0.0,2886.78,1643.85,1242.93,43.06
ORD-00102,2023-02-21,2023-02-28,Standard,CUST_0109,West,Rep_03,Furniture,Chairs,333.46,3,0.2,800.3,495.68,304.62,38.06
ORD-00103,2023-06-01,2023-06-08,Same Day,CUST_0120,Central,Rep_07,Electronics,Phones,1820.96,1,0.0,1820.96,1288.37,532.59,29.25
ORD-00104,2024-11-07,2024-11-14,Standard,CUST_0090,Central,Rep_09,Furniture,Desks,118.05,1,0.0,118.05,81.1,36.95,31.3
ORD-00105,2023-05-10,2023-05-16,Standard,CUST_0136,North,Rep_06,Furniture,Cabinets,394.67,2,0.15,670.94,314.72,356.22,53.09
ORD-00106,2024-05-30,2024-06-01,Economy,CUST_0056,Central,Rep_19,Clothing,Shoes,237.45,1,0.15,201.83,138.25,63.58,31.5
ORD-00107,2024-02-16,2024-02-20,Economy,CUST_0032,West,Rep_01,Sports,Sportswear,352.47,8,0.15,2396.8,1732.67,664.13,27.71
ORD-00108,2023-05-10,2023-05-13,Standard,CUST_0076,East,Rep_20,Electronics,Laptops,1323.77,10,0.1,11913.93,7906.63,4007.3,33.64
ORD-00109,2024-12-19,2024-12-20,Standard,CUST_0221,West,Rep_17,Clothing,Shoes,216.14,9,0.15,1653.47,1173.38,480.09,29.04
ORD-00110,2024-02-13,2024-02-17,Economy,CUST_0174,South,Rep_14,Clothing,Jackets,187.81,6,0.05,1070.52,582.1,488.42,45.62
ORD-00111,2023-03-29,2023-03-30,Standard,CUST_0035,South,Rep_16,Office Supplies,Staplers,37.39,6,0.2,179.47,87.77,91.7,51.09
ORD-00112,2023-02-22,2023-02-25,Economy,CUST_0182,North,Rep_14,Electronics,Tablets,1280.74,6,0.0,7684.44,4790.29,2894.15,37.66
ORD-00113,2024-07-23,2024-07-26,Same Day,CUST_0056,West,Rep_08,Furniture,Desks,180.42,5,0.1,811.89,420.44,391.45,48.21
ORD-00114,2023-10-07,2023-10-13,Express,CUST_0015,Central,Rep_09,Clothing,Shirts,195.35,6,0.0,1172.1,529.59,642.51,54.82
ORD-00115,2024-06-27,2024-06-29,Standard,CUST_0016,North,Rep_05,Furniture,Tables,363.34,8,0.0,2906.72,1445.29,1461.43,50.28
ORD-00116,2023-06-09,2023-06-11,Standard,CUST_0044,Central,Rep_20,Office Supplies,Staplers,61.58,1,0.15,52.34,24.83,27.51,52.56
ORD-00117,2023-10-07,2023-10-09,Economy,CUST_0227,West,Rep_20,Clothing,Jackets,193.64,2,0.0,387.28,224.23,163.05,42.1
ORD-00118,2024-02-09,2024-02-14,Express,CUST_0024,Central,Rep_10,Office Supplies,Binders,9.11,4,0.0,36.44,26.73,9.71,26.65
ORD-00119,2024-05-24,2024-05-30,Standard,CUST_0062,East,Rep_11,Furniture,Cabinets,401.46,3,0.05,1144.16,697.68,446.48,39.02
ORD-00120,2023-01-20,2023-01-24,Economy,CUST_0022,North,Rep_13,Furniture,Cabinets,744.81,6,0.1,4021.97,2327.86,1694.11,42.12
ORD-00121,2023-11-29,2023-12-01,Standard,CUST_0208,East,Rep_04,Clothing,Jackets,204.3,10,0.05,1940.85,1357.83,583.02,30.04
ORD-00122,2024-08-26,2024-08-30,Economy,CUST_0125,West,Rep_04,Office Supplies,Pens,44.3,7,0.2,248.08,134.73,113.35,45.69
ORD-00123,2024-06-27,2024-07-02,Standard,CUST_0040,East,Rep_06,Office Supplies,Paper,19.54,6,0.0,117.24,78.34,38.9,33.18
ORD-00124,2023-06-27,2023-07-02,Express,CUST_0132,North,Rep_05,Furniture,Desks,207.01,2,0.0,414.02,304.47,109.55,26.46
ORD-00125,2024-10-04,2024-10-07,Same Day,CUST_0230,Central,Rep_19,Clothing,Jackets,54.72,2,0.05,103.97,60.58,43.39,41.73
ORD-00126,2023-11-14,2023-11-18,Standard,CUST_0181,Central,Rep_02,Office Supplies,Staplers,38.89,1,0.0,38.89,27.2,11.69,30.06
ORD-00127,2024-04-18,2024-04-23,Economy,CUST_0260,Central,Rep_20,Electronics,Laptops,1197.77,1,0.05,1137.88,822.36,315.52,27.73
ORD-00128,2023-03-05,2023-03-09,Express,CUST_0244,East,Rep_20,Sports,Outdoor Gear,78.65,6,0.15,401.12,190.65,210.47,52.47
ORD-00129,2024-01-08,2024-01-11,Express,CUST_0225,South,Rep_15,Furniture,Chairs,742.56,7,0.05,4938.02,3369.41,1568.61,31.77
ORD-00130,2024-07-25,2024-07-31,Standard,CUST_0169,East,Rep_03,Sports,Gym Equipment,211.69,5,0.15,899.68,634.7,264.98,29.45
ORD-00131,2023-12-25,2023-12-28,Express,CUST_0299,East,Rep_03,Sports,Outdoor Gear,484.82,7,0.0,3393.74,2133.01,1260.73,37.15
ORD-00132,2024-11-17,2024-11-23,Express,CUST_0169,Central,Rep_13,Electronics,Tablets,1692.13,9,0.0,15229.17,9804.65,5424.52,35.62
ORD-00133,2023-08-08,2023-08-11,Express,CUST_0159,North,Rep_12,Clothing,Shoes,237.96,8,0.0,1903.68,986.04,917.64,48.2
ORD-00134,2024-11-08,2024-11-11,Standard,CUST_0052,North,Rep_10,Furniture,Desks,713.47,10,0.0,7134.7,4488.97,2645.73,37.08
ORD-00135,2023-02-14,2023-02-18,Economy,CUST_0085,South,Rep_20,Furniture,Desks,355.01,4,0.05,1349.04,854.18,494.86,36.68
ORD-00136,2023-07-18,2023-07-21,Economy,CUST_0159,Central,Rep_08,Clothing,Pants,176.01,10,0.05,1672.09,984.03,688.06,41.15
ORD-00137,2023-07-24,2023-07-31,Express,CUST_0215,Central,Rep_17,Office Supplies,Binders,50.35,5,0.0,251.75,161.71,90.04,35.77
ORD-00138,2023-06-14,2023-06-17,Standard,CUST_0146,Central,Rep_04,Office Supplies,Pens,38.7,9,0.0,348.3,243.57,104.73,30.07
ORD-00139,2023-02-24,2023-02-28,Economy,CUST_0014,West,Rep_12,Electronics,Phones,1103.61,4,0.05,4193.72,3138.4,1055.32,25.16
ORD-00140,2023-05-30,2023-06-01,Same Day,CUST_0051,North,Rep_11,Office Supplies,Paper,7.87,8,0.15,53.52,37.43,16.09,30.06
ORD-00141,2023-09-20,2023-09-22,Standard,CUST_0041,Central,Rep_01,Clothing,Jackets,212.04,9,0.15,1622.11,1026.25,595.86,36.73
ORD-00142,2023-02-18,2023-02-20,Standard,CUST_0155,East,Rep_08,Clothing,Shirts,116.56,10,0.05,1107.32,519.16,588.16,53.12
ORD-00143,2023-10-26,2023-10-30,Express,CUST_0124,Central,Rep_19,Clothing,Shirts,20.36,6,0.0,122.16,75.89,46.27,37.88
ORD-00144,2024-02-04,2024-02-11,Standard,CUST_0035,Central,Rep_12,Furniture,Chairs,429.09,7,0.0,3003.63,1580.19,1423.44,47.39
ORD-00145,2024-08-18,2024-08-24,Standard,CUST_0124,North,Rep_12,Electronics,Tablets,1562.02,3,0.0,4686.06,2604.0,2082.06,44.43
ORD-00146,2023-03-06,2023-03-12,Express,CUST_0094,West,Rep_16,Office Supplies,Paper,63.21,8,0.0,505.68,272.07,233.61,46.2
ORD-00147,2024-07-10,2024-07-14,Economy,CUST_0159,North,Rep_11,Electronics,Phones,655.96,4,0.0,2623.84,1461.72,1162.12,44.29
ORD-00148,2024-02-14,2024-02-20,Economy,CUST_0189,East,Rep_04,Electronics,Tablets,991.53,7,0.0,6940.71,5150.82,1789.89,25.79
ORD-00149,2024-03-10,2024-03-11,Standard,CUST_0137,East,Rep_17,Clothing,Jackets,119.04,3,0.1,321.41,172.96,148.45,46.19
ORD-00150,2024-09-09,2024-09-15,Economy,CUST_0157,East,Rep_10,Electronics,Laptops,967.01,8,0.0,7736.08,4518.95,3217.13,41.59
ORD-00151,2024-01-08,2024-01-13,Economy,CUST_0039,East,Rep_02,Office Supplies,Binders,65.08,3,0.0,195.24,96.22,99.02,50.72
ORD-00152,2024-10-22,2024-10-25,Express,CUST_0035,North,Rep_05,Sports,Footwear,200.21,10,0.0,2002.1,1264.38,737.72,36.85
ORD-00153,2024-06-26,2024-06-29,Express,CUST_0040,East,Rep_15,Clothing,Shoes,111.55,5,0.0,557.75,411.71,146.04,26.18
ORD-00154,2023-09-26,2023-10-03,Standard,CUST_0199,West,Rep_17,Electronics,Phones,668.52,8,0.0,5348.16,4005.29,1342.87,25.11
ORD-00155,2024-04-07,2024-04-09,Standard,CUST_0070,South,Rep_04,Office Supplies,Binders,72.4,8,0.0,579.2,401.47,177.73,30.69
ORD-00156,2023-11-04,2023-11-11,Same Day,CUST_0278,North,Rep_18,Office Supplies,Staplers,16.81,3,0.2,40.34,22.53,17.81,44.15
ORD-00157,2023-01-27,2023-01-30,Economy,CUST_0122,South,Rep_05,Furniture,Chairs,487.82,6,0.05,2780.57,1921.65,858.92,30.89
ORD-00158,2024-02-12,2024-02-18,Same Day,CUST_0034,Central,Rep_03,Sports,Outdoor Gear,367.87,9,0.05,3145.29,2141.15,1004.14,31.93
ORD-00159,2024-04-22,2024-04-28,Economy,CUST_0038,South,Rep_11,Sports,Gym Equipment,273.16,3,0.2,655.58,448.47,207.11,31.59
ORD-00160,2023-05-08,2023-05-13,Standard,CUST_0258,South,Rep_14,Sports,Outdoor Gear,101.92,3,0.0,305.76,167.19,138.57,45.32
ORD-00161,2023-07-21,2023-07-27,Same Day,CUST_0041,Central,Rep_10,Furniture,Cabinets,769.45,5,0.0,3847.25,2452.65,1394.6,36.25
ORD-00162,2023-06-25,2023-07-01,Express,CUST_0298,Central,Rep_06,Sports,Gym Equipment,323.51,10,0.0,3235.1,2273.5,961.6,29.72
ORD-00163,2024-10-28,2024-10-30,Same Day,CUST_0024,North,Rep_03,Sports,Gym Equipment,390.47,7,0.1,2459.96,1578.55,881.41,35.83
ORD-00164,2023-11-01,2023-11-05,Economy,CUST_0126,East,Rep_16,Clothing,Shoes,36.78,1,0.0,36.78,21.4,15.38,41.82
ORD-00165,2023-11-23,2023-11-29,Same Day,CUST_0074,South,Rep_11,Clothing,Jackets,247.25,6,0.05,1409.33,689.49,719.84,51.08
ORD-00166,2023-10-01,2023-10-05,Standard,CUST_0239,East,Rep_08,Office Supplies,Pens,23.59,2,0.0,47.18,25.34,21.84,46.29
ORD-00167,2023-07-14,2023-07-21,Same Day,CUST_0168,South,Rep_06,Clothing,Jackets,56.65,9,0.05,484.36,290.44,193.92,40.04
ORD-00168,2023-09-04,2023-09-06,Economy,CUST_0202,North,Rep_03,Office Supplies,Binders,48.75,1,0.0,48.75,26.05,22.7,46.56
ORD-00169,2024-03-17,2024-03-19,Standard,CUST_0005,East,Rep_18,Sports,Footwear,444.75,6,0.2,2134.8,1218.92,915.88,42.9
ORD-00170,2024-01-07,2024-01-12,Express,CUST_0288,North,Rep_19,Electronics,Accessories,719.48,7,0.1,4532.72,2652.12,1880.6,41.49
ORD-00171,2023-04-10,2023-04-14,Express,CUST_0061,Central,Rep_20,Sports,Sportswear,205.4,6,0.1,1109.16,811.56,297.6,26.83
ORD-00172,2023-02-16,2023-02-17,Standard,CUST_0206,Central,Rep_17,Furniture,Desks,195.93,6,0.2,940.46,556.87,383.59,40.79
ORD-00173,2024-09-19,2024-09-22,Same Day,CUST_0072,Central,Rep_17,Clothing,Pants,57.38,10,0.15,487.73,342.77,144.96,29.72
ORD-00174,2024-12-26,2024-12-31,Economy,CUST_0273,Central,Rep_17,Sports,Sportswear,170.9,1,0.0,170.9,93.89,77.01,45.06
ORD-00175,2023-09-29,2023-10-05,Economy,CUST_0014,Central,Rep_10,Electronics,Accessories,1609.23,10,0.1,14483.07,7506.04,6977.03,48.17
ORD-00176,2024-11-28,2024-11-30,Express,CUST_0195,South,Rep_17,Electronics,Accessories,256.83,2,0.0,513.66,234.07,279.59,54.43
ORD-00177,2024-05-28,2024-06-04,Economy,CUST_0105,South,Rep_14,Office Supplies,Binders,50.86,8,0.2,325.5,229.32,96.18,29.55
ORD-00178,2024-11-09,2024-11-13,Same Day,CUST_0288,Central,Rep_07,Electronics,Phones,1145.86,6,0.0,6875.16,4041.9,2833.26,41.21
